EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 1788,107723,DUNMORE G.S.                            ,IE,+53:37:08,-008:43:59,  61, RR3,19411123,19880430,   17,Conor Daly                                        
 1788,107847,MILLTOWN                                ,IE,+53:36:43,-008:53:31,  50, RR3,19440428,20210730,   17,Conor Daly                                        
 1788,107851,GLENAMADDY (GORTNAGIER)                 ,IE,+53:36:11,-008:33:40,  84, RR3,19440501,20210731,   17,Conor Daly                                        
 1789,107724,CAVAN (TRANS.STN.)                      ,IE,+53:59:49,-007:21:29,  88, RR3,19420701,19870131,   17,Conor Daly                                        
 1789,107735,REDHILLS G.S.                           ,IE,+54:06:11,-007:19:01,  66, RR3,19420605,19990920,   17,Conor Daly                                        
 1789,107913,BALLYHAISE (AGR.COLL.)                  ,IE,+54:03:04,-007:18:36,  67, RR3,19410101,20050731,   17,Conor Daly                                        
 1789,116294,BALLYHAISE                              ,IE,+54:03:04,-007:18:36,  79, RR3,20080401,20210731,   17,Conor Daly                                        
 1789,903979,BALLYHAISE, CAVAN                       ,IE,+54:03:00,-007:18:00,  79, RR8,20090609,20200229,     ,                    
 1790,107725,OMEATH                                  ,IE,+54:05:10,-006:15:14,  12, RR3,19430325,20210731,   17,Conor Daly                                        
 1790,218593,KILLOWEN                                ,GB,+54:04:37,-006:11:02,   4, RR7,20000407,20191230,   84,Matthew Fry                                       
 1791,107726,KINLOUGH G.S.                           ,IE,+54:26:46,-008:17:17,  43, RR3,19511107,20090731,   17,Conor Daly                                        
 1791,107808,BALLYSHANNON (CATHLEENS FALL)           ,IE,+54:30:00,-008:10:44,  38, RR3,19451120,20210731,   17,Conor Daly                                        
 1791,107856,BALLYSHANNON (CHERRYMOUNT)              ,IE,+54:29:31,-008:09:11,  30, RR3,19540720,20210731,   17,Conor Daly                                        
 1791,903978,FINNER                                  ,IE,+54:30:00,-008:13:59,  45, RR8,20110902,20200229,     ,                    
 1793,107728,CROOKSTOWN G.S.                         ,IE,+51:51:22,-008:48:36,  61, RR3,19421101,19900430,   17,Conor Daly                                        
 1793,107743,MACROOM G.S.                            ,IE,+51:54:25,-008:57:50,  75, RR3,19421001,19950531,   17,Conor Daly                                        
 1793,107771,COACHFORD G.S.                          ,IE,+51:54:29,-008:47:31,  68, RR3,19421102,19910228,   17,Conor Daly                                        
 1793,107864,CARRIGADROHID (GEN.STN.)                ,IE,+51:53:49,-008:51:50,  67, RR3,19531112,20210731,   17,Conor Daly                                        
 1794,107729,OOLAGH (CARAGH RIVER AREA)              ,IE,+52:03:04,-009:50:06,  98, RR3,19490609,20090531,   17,Conor Daly                                        
 1794,107754,CLOONE LAKE (CARAGH RIVER AREA)         ,IE,+51:56:35,-009:52:26, 122, RR3,19490613,20210730,   17,Conor Daly                                        
 1878,107724,CAVAN (TRANS.STN.)                      ,IE,+53:59:49,-007:21:29,  88, RR3,19420701,19870131,   17,Conor Daly                                        
 1878,107735,REDHILLS G.S.                           ,IE,+54:06:11,-007:19:01,  66, RR3,19420605,19990920,   17,Conor Daly                                        
 1878,107777,BELTURBET (VOC.SCH.)                    ,IE,+54:06:00,-007:26:31,  70, RR3,19440811,19891031,   17,Conor Daly                                        
 1878,107820,CLONES                                  ,IE,+54:10:48,-007:13:48,  87, RR3,19500101,20080331,   17,Conor Daly                                        
 1878,107913,BALLYHAISE (AGR.COLL.)                  ,IE,+54:03:04,-007:18:36,  67, RR3,19410101,20050731,   17,Conor Daly                                        
 1878,116294,BALLYHAISE                              ,IE,+54:03:04,-007:18:36,  79, RR3,20080401,20210731,   17,Conor Daly                                        
 1878,903974,CLONES                                  ,IE,+54:11:00,-007:14:00,  87, RR8,19820101,20080406,     ,                    
 1878,903979,BALLYHAISE, CAVAN                       ,IE,+54:03:00,-007:18:00,  79, RR8,20090609,20200229,     ,                    
 1879,107703,PETTIGO (LOUGH DERG)                    ,IE,+54:36:22,-007:51:40, 146, RR3,19520610,20210731,   17,Conor Daly                                        
 1879,107736,PETTIGO (MEENSHEEFIN)                   ,IE,+54:34:44,-007:58:30, 148, RR3,19520610,20001130,   17,Conor Daly                                        
 1883,107740,MEELICK (VICTORIA LOCK)                 ,IE,+53:10:01,-008:04:52,  39, RR3,19410101,20210731,   17,Conor Daly                                        
 1883,107757,BANAGHER (CANAL HSE.)                   ,IE,+53:11:38,-007:59:38,  37, RR3,19430101,20150331,   17,Conor Daly                                        
 1883,107763,PORTUMNA O.P.W.                         ,IE,+53:05:31,-008:11:31,  35, RR3,19410101,20210731,   17,Conor Daly                                        
 1883,107842,EYRECOURT G.S.                          ,IE,+53:11:49,-008:07:59,  58, RR3,19430722,19891130,   17,Conor Daly                                        
 1885,107742,DRUMSNA (ALBERT LOCK)                   ,IE,+53:54:40,-008:00:00,  45, RR3,19410101,20210228,   17,Conor Daly                                        
 1885,107753,KESHCARRIGAN G.S.                       ,IE,+54:01:05,-007:56:31,  69, RR3,19420615,20210731,   17,Conor Daly                                        
 1885,107767,DROMOD (RUSKEY)                         ,IE,+53:49:30,-007:55:08,  42, RR3,19410101,20180731,   17,Conor Daly                                        
 1885,107837,CARRICK-ON-SHANNON E.S.B.               ,IE,+53:56:20,-008:06:40,  56, RR3,19420616,19880630,   17,Conor Daly                                        
 1886,107728,CROOKSTOWN G.S.                         ,IE,+51:51:22,-008:48:36,  61, RR3,19421101,19900430,   17,Conor Daly                                        
 1886,107743,MACROOM G.S.                            ,IE,+51:54:25,-008:57:50,  75, RR3,19421001,19950531,   17,Conor Daly                                        
 1886,107771,COACHFORD G.S.                          ,IE,+51:54:29,-008:47:31,  68, RR3,19421102,19910228,   17,Conor Daly                                        
 1886,107864,CARRIGADROHID (GEN.STN.)                ,IE,+51:53:49,-008:51:50,  67, RR3,19531112,20210731,   17,Conor Daly                                        
 1887,107744,GLENVICKEE (CARAGH RIVER AREA)          ,IE,+51:58:26,-009:49:44, 128, RR3,19490612,20210730,   17,Conor Daly                                        
 1887,107754,CLOONE LAKE (CARAGH RIVER AREA)         ,IE,+51:56:35,-009:52:26, 122, RR3,19490613,20210730,   17,Conor Daly                                        
 1888,107745,BUTTEVANT G.S.                          ,IE,+52:13:41,-008:40:19,  96, RR3,19440608,20020630,   17,Conor Daly                                        
 1888,107910,MALLOW (HAZELWOOD)                      ,IE,+52:11:24,-008:39:00,  94, RR3,19410101,20210731,   17,Conor Daly                                        
 1891,107748,BIRDHILL (PARTEEN WEIR)                 ,IE,+52:45:40,-008:28:19,  34, RR3,19410101,20140531,   17,Conor Daly                                        
 1891,107875,ARDNACRUSHA (GEN.STN.NO.2)              ,IE,+52:41:49,-008:37:01,  28, RR3,19521009,20210731,   17,Conor Daly                                        
 1894,107751,CLOONDRA O.P.W.                         ,IE,+53:43:59,-007:54:29,  48, RR3,19410101,19941130,   17,Conor Daly                                        
 1894,107767,DROMOD (RUSKEY)                         ,IE,+53:49:30,-007:55:08,  42, RR3,19410101,20180731,   17,Conor Daly                                        
 1894,107807,LANESBORO O.P.W.                        ,IE,+53:40:30,-007:59:31,  46, RR3,19410101,19951031,   17,Conor Daly                                        
 1896,107742,DRUMSNA (ALBERT LOCK)                   ,IE,+53:54:40,-008:00:00,  45, RR3,19410101,20210228,   17,Conor Daly                                        
 1896,107753,KESHCARRIGAN G.S.                       ,IE,+54:01:05,-007:56:31,  69, RR3,19420615,20210731,   17,Conor Daly                                        
 1896,107758,DRUMSHANBO                              ,IE,+54:03:40,-008:03:40,  54, RR3,19410101,20210731,   17,Conor Daly                                        
 1897,107729,OOLAGH (CARAGH RIVER AREA)              ,IE,+52:03:04,-009:50:06,  98, RR3,19490609,20090531,   17,Conor Daly                                        
 1897,107744,GLENVICKEE (CARAGH RIVER AREA)          ,IE,+51:58:26,-009:49:44, 128, RR3,19490612,20210730,   17,Conor Daly                                        
