EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT

    2,FALUN                                   ,SE,+60:37:00,+015:37:00, 160
    6,KARLSTAD                                ,SE,+59:21:00,+013:28:00,  46
 5170,BOLLERUP                                ,SE,+55:29:24,+014:03:00,  55
 5882,HAMMENHOG                               ,SE,+55:30:00,+014:09:36,  52
 5885,TOMELILLA                               ,SE,+55:33:00,+013:57:00,  67
 5886,STIBY                                   ,SE,+55:33:36,+014:11:24,  70
 5893,LOVESTAD                                ,SE,+55:38:24,+013:53:24,  80
 5897,KLAMBY                                  ,SE,+55:40:12,+013:43:48,  85
 5898,BRANDSTAD                               ,SE,+55:40:48,+013:43:48,  95
  463,LUND                                    ,SE,+55:42:00,+013:12:00,  73
 5900,HALLAMOLLA                              ,SE,+55:42:36,+014:00:36,  90
 5902,SODRA_LOKAROD                           ,SE,+55:46:12,+014:05:24, 113
 5906,ALMHULT                                 ,SE,+55:52:12,+013:52:12, 180
 5188,STEHAG                                  ,SE,+55:54:00,+013:24:00,  85
 5909,FRIGGESTAD                              ,SE,+55:54:00,+013:55:48, 150
 5911,KNOPPARP_D                              ,SE,+55:55:48,+013:51:00, 165
 5194,HANO_A                                  ,SE,+56:00:36,+014:51:00,  55
 5917,GILLASTIG                               ,SE,+56:00:36,+013:13:48, 152
 5932,KLIPPAN                                 ,SE,+56:08:24,+013:15:00,  55
 5934,HASSLEHOLM                              ,SE,+56:08:24,+013:44:24,  45
 5940,HORLINGE                                ,SE,+56:12:00,+013:40:48,  55
 5950,BREDAKRA_D                              ,SE,+56:15:00,+015:15:00,  40
 1419,RONNEBY-BREDAKRA                        ,SE,+56:15:36,+015:16:12,  58
 5952,OLOFSTROM                               ,SE,+56:16:48,+014:31:12,  65
 5953,ORKELLJUNGA                             ,SE,+56:16:48,+013:18:00,  75
 5954,BJARNUM_D                               ,SE,+56:17:24,+013:45:00,  76
 5957,TVINGELSHED                             ,SE,+56:19:48,+015:34:48, 100
 5211,OSBY                                    ,SE,+56:22:48,+013:58:48,  90
 5963,BARAMOSSA                               ,SE,+56:22:48,+012:58:48, 200
 5966,OLASTORP                                ,SE,+56:25:12,+014:21:36, 135
 5969,MJUAMALA                                ,SE,+56:26:24,+015:19:12, 109
 5970,ERINGSBODA_D                            ,SE,+56:27:00,+015:21:36, 109
 5217,MARKARYD                                ,SE,+56:27:36,+013:39:36, 110
 5219,VISSEFJARDA                             ,SE,+56:30:36,+015:37:12, 114
 5222,TINGSRYD-DEGERHAGA                      ,SE,+56:32:24,+014:54:00, 176
 5977,STROMSNASBRUK                           ,SE,+56:33:36,+013:44:24, 115
 5225,RORSBO                                  ,SE,+56:36:00,+015:30:36, 130
 5979,LANSHULT                                ,SE,+56:36:36,+014:04:12, 160
 5980,STANGSMALA_D                            ,SE,+56:37:12,+015:08:24, 130
 5982,PJATTERYD                               ,SE,+56:38:24,+014:01:48, 140
 5227,EMMABODA                                ,SE,+56:37:48,+015:33:00, 150
 5984,VACKELSANG                              ,SE,+56:39:00,+014:55:12, 155
 5985,LINNERYD                                ,SE,+56:39:36,+015:08:24, 140
 5987,HYLTAN                                  ,SE,+56:40:48,+014:20:24, 155
 5238,LESSEBO                                 ,SE,+56:45:36,+015:16:12, 162
 5240,LJUNGBY                                 ,SE,+56:49:48,+013:57:00, 155
 5998,BOLMEN                                  ,SE,+56:48:36,+013:42:00, 160
