EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT

    6,KARLSTAD                                ,SE,+59:21:00,+013:28:00,  46
  342,GOTSKA SANDON                           ,SE,+58:24:00,+019:12:00,  11
  462,GOTEBORG A                              ,SE,+57:42:58,+011:59:40,   5
  465,VISBY                                   ,SE,+57:40:00,+018:20:00,  42
 5877,TRELLEBORG                              ,SE,+55:22:48,+013:07:48,   5
 1418,FALSTERBO                               ,SE,+55:22:48,+012:49:12,   5
 5164,FALSTERBO_A                             ,SE,+55:22:48,+012:49:12,   5
 5168,YSTAD                                   ,SE,+55:26:24,+013:49:48,  20
 5879,KOPINGE                                 ,SE,+55:27:36,+013:56:24,  10
 5880,VELLINGE                                ,SE,+55:28:12,+013:00:36,  10
 5169,SKILLINGE_A                             ,SE,+55:29:24,+014:19:12,   4
 5170,BOLLERUP                                ,SE,+55:29:24,+014:03:00,  55
 5172,HOKOPINGE                               ,SE,+55:30:00,+013:01:12,  17
 5882,HAMMENHOG                               ,SE,+55:30:00,+014:09:36,  52
 5174,SIMRISHAMN                              ,SE,+55:32:24,+014:21:36,   8
 5884,GARSNAS                                 ,SE,+55:33:00,+014:10:48,  45
 3509,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20
 5175,MALMO                                   ,SE,+55:36:36,+013:04:48,  20
 5177,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3
 5890,BJORNSTORP                              ,SE,+55:37:48,+013:24:36,  45
 5892,SJOBO_D                                 ,SE,+55:38:24,+013:40:48,  40
 5894,STAFFANSTORP                            ,SE,+55:39:00,+013:13:12,  20
 5895,ALNARP FRUKTAVDELNING                   ,SE,+55:39:36,+013:05:24,  10
 5896,VOMB                                    ,SE,+55:39:36,+013:31:48,  25
 5181,BJORKA                                  ,SE,+55:42:00,+013:37:48,  32
 5907,LANDSKRONA_D                            ,SE,+55:52:48,+012:50:24,   9
 5187,VEN                                     ,SE,+55:54:00,+012:43:12,  25
 5910,AHUS                                    ,SE,+55:55:12,+014:16:48,   5
 5190,KRISTIANSTAD_EVEROD                     ,SE,+55:55:12,+014:04:48,  17
 5912,UGERUP                                  ,SE,+55:58:12,+014:07:12,  20
 5192,RINKABY                                 ,SE,+55:58:48,+014:16:12,   7
 5193,KRISTIANSTAD                            ,SE,+56:19:48,+014:09:00,  10
 5915,TOSTEBERGA                              ,SE,+56:00:36,+014:26:24,  10
 5919,HELSINGBORG_2                           ,SE,+56:01:48,+012:44:24,  30
 5196,HELSINGBORG_A                           ,SE,+56:01:48,+012:46:12,  43
 5198,HELSINGBORG                             ,SE,+56:02:24,+012:41:24,  43
 5922,BACKASKOG                               ,SE,+56:03:00,+014:20:24,  12
 5199,KARPALUND                               ,SE,+56:03:00,+014:06:00,   4
