EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

   32,100101,BOURGES                                 ,FR,+47:03:33,+002:21:35, 161, RR9,19450301,20201231,   10,Jean-Michel Soubeyroux                            
   32,907255,BOURGES                                 ,FR,+47:04:00,+002:22:00, 166, RR8,19820102,20200229,     ,                    
   33,100105,TOULOUSE-BLAGNAC                        ,FR,+43:37:16,+001:22:44, 151, RR9,19470101,20201231,   10,Jean-Michel Soubeyroux                            
   33,907630,TOULOUSE BLAGNAC                        ,FR,+43:37:00,+001:23:00, 158, RR8,19820101,20200229,     ,                    
   33,907631,TOULOUSE FRANCAZAL                      ,FR,+43:32:00,+001:22:00, 164, RR8,20041007,20200229,     ,                    
   34,100109,BORDEAUX-MERIGNAC                       ,FR,+44:49:50,-000:41:29,  47, RR9,19201109,20201231,   10,Jean-Michel Soubeyroux                            
   34,907510,BORDEAUX MERIGNAC                       ,FR,+44:50:00,-000:42:00,  54, RR8,19820101,20200229,     ,                    
   36,100117,PERPIGNAN                               ,FR,+42:44:14,+002:52:22,  42, RR9,19241117,20201231,   10,Jean-Michel Soubeyroux                            
   36,907747,PERPIGNAN                               ,FR,+42:44:00,+002:52:00,  47, RR8,19820101,20200229,     ,                    
