EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT

   28,HELSINKI KAISANIEMI                     ,FI,+60:10:30,+024:56:52,   4
   29,JYVASKYLA LENTOASEMA                    ,FI,+62:24:08,+025:40:43, 139
   30,SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS  ,FI,+67:21:58,+026:37:59, 179
  339,HAPARANDA                               ,SE,+65:49:38,+024:08:38,   5
 5813,OVERTORNEA                              ,SE,+66:22:48,+023:39:00,  70
 6860,SVANSTEIN                               ,SE,+66:39:00,+023:51:36,  80
 1409,KARESUANDO                              ,SE,+68:26:32,+022:27:01, 330
 5873,KARESUANDO_A                            ,SE,+68:26:24,+022:27:00, 330
 5874,NAIMAKKA_A                              ,SE,+68:40:48,+021:31:48, 402
 5875,NAIMAKKA                                ,SE,+68:40:48,+021:31:48, 403
 6938,JOMALA MAARIANHAMINAN LENTOASEMA        ,FI,+60:07:29,+019:54:24,   5
 6939,PARAINEN UTO                            ,FI,+59:47:03,+021:22:16,   9
 6942,KORPPOO KORPOGARD                       ,FI,+60:10:00,+021:34:00,   7
 6944,SALTVIK KVARNBO                         ,FI,+60:17:00,+020:03:00,  10
 6946,RYMATTYLA KK                            ,FI,+60:24:00,+021:58:00,   7
 6948,JOMALA JOMALABY                         ,FI,+60:10:42,+019:59:23,  11
 6955,PARAINEN FAGERHOLM                      ,FI,+60:06:42,+021:42:10,   4
 6956,JOMALA SODERSUNDA                       ,FI,+60:09:15,+019:52:31,   9
 6962,HANKO RUSSARO                           ,FI,+59:46:25,+022:57:07,   5
 6964,KAARINA YLTOINEN                        ,FI,+60:23:12,+022:33:17,   6
 6965,PIIKKIO TUORLA                          ,FI,+60:25:00,+022:26:00,  26
 6968,KEMIO MATTKARR                          ,FI,+60:07:46,+022:38:57,  21
 6970,TURKU KAARNINKO                         ,FI,+60:26:00,+022:17:00,  30
 6971,TURKU RUISSALO                          ,FI,+60:26:00,+022:11:00,   4
 6974,KEMIONSAARI LOVBOLE                     ,FI,+60:09:11,+022:33:40,   7
 6979,TURKU ARTUKAINEN                        ,FI,+60:27:16,+022:10:54,   8
 6980,KEMIONSAARI KEMIO KK                    ,FI,+60:10:17,+022:45:39,  13
 6981,SUOMUSJARVI KETTULA                     ,FI,+60:24:00,+023:46:00,  84
 6982,HANKO TVARMINNE                         ,FI,+59:50:38,+023:15:06,   3
  701,SALO KARKKA                             ,FI,+60:22:25,+023:06:58,   3
 6987,SALO SUOMUSJARVI                        ,FI,+60:19:26,+023:42:36,  69
 6988,NUMMI-PUSULA LEPPAKORPI                 ,FI,+60:29:28,+023:46:10,  96
 6991,SALO KIIKALA LENTOKENTTA                ,FI,+60:27:48,+023:39:09, 117
 6992,VANTAA HELSINKI-VANTAAN LENTOASEMA      ,FI,+60:19:38,+024:57:37,  51
 6994,HELSINKI KATAJALUOTO                    ,FI,+60:06:00,+024:55:00,   5
 6995,ESPOO OTANIEMI                          ,FI,+60:11:00,+024:50:00,   2
 6996,HELSINKI ILMALA                         ,FI,+60:12:00,+024:55:00,  47
  702,LOHJA PORLA                             ,FI,+60:14:38,+024:03:09,  37
 7020,HELSINKI KUMPULA                        ,FI,+60:12:10,+024:57:52,  24
 7023,HELSINKI-MALMIN LENTOASEMA              ,FI,+60:15:12,+025:02:54,  15
 7026,VANTAA TIKKURILA                        ,FI,+60:17:00,+025:04:00,  20
 7027,TUUSULA RUOTSINKYLA                     ,FI,+60:22:00,+024:59:00,  49
  703,PORVOO JERNBOLE                         ,FI,+60:24:21,+025:39:32,  17
 7028,TUUSULA HYRYLA                          ,FI,+60:25:00,+025:02:00,  45
 7030,PORVOO BENGTSBY                         ,FI,+60:15:50,+025:38:15,  11
 7031,PORVOO NORRVECKOSKI                     ,FI,+60:23:35,+025:26:02,  24
 7033,HELSINKI MARJANIEMI                     ,FI,+60:12:00,+025:05:00,  22
 7036,HELSINKI ISOSAARI                       ,FI,+60:06:15,+025:04:16,   4
 7039,PORVOO LEHTIMAKI                        ,FI,+60:22:06,+025:37:37,  10
 7040,PORVOO HARABACKA                        ,FI,+60:23:29,+025:36:41,  22
 7042,KOTKA RANKKI                            ,FI,+60:22:31,+026:57:42,   9
 7055,KOTKA KIRKONMAA                         ,FI,+60:23:06,+027:03:06,  17
  704,PORI PORIN LENTOASEMA                   ,FI,+61:27:56,+021:47:49,  13
 7059,UUSIKAUPUNKI NERVANDERINPUISTO          ,FI,+60:48:07,+021:25:41,   6
 7061,UUSIKAUPUNKI KORSAARI                   ,FI,+60:50:44,+021:14:35,   5
 7073,PORI RAUTATIEASEMA                      ,FI,+61:28:44,+021:47:11,   9
  706,TURKU TURUN LENTOASEMA                  ,FI,+60:30:55,+022:16:39,  49
  707,KOKEMAKI PEIPOHJA HYRKOLA               ,FI,+61:16:15,+022:15:08,  37
 7079,ORIPAA KK                               ,FI,+60:51:00,+022:43:00,  70
 7080,YLANE VANHAKARTANO                      ,FI,+60:52:00,+022:24:00,  50
 7082,HUITTINEN SALLILA                       ,FI,+61:01:24,+022:42:07,  70
 7085,KOKEMAKI KARTANO                        ,FI,+61:14:00,+022:17:00,  40
 7086,HARJAVALTA TORTTILA                     ,FI,+61:18:53,+022:07:38,  31
 7087,ORIPAA TEINIKIVI                        ,FI,+60:54:15,+022:42:54,  82
 7088,KOKEMAKI ASKOLA                         ,FI,+61:16:00,+022:17:00,  35
 7092,POYTYA YLANE                            ,FI,+60:52:17,+022:23:29,  53
 7096,KOKEMAKI TULKKILA                       ,FI,+61:15:10,+022:20:59,  38
  708,JOKIOINEN JOKIOISTEN OBSERVATORIO       ,FI,+60:48:50,+023:30:03, 104
 7097,TAMPERE HARMALA-1                       ,FI,+61:28:00,+023:45:00,  85
 7099,SOMERO SUOJOKI                          ,FI,+60:31:07,+023:40:43,  83
 7100,NUMMI-PUSULA KARKOLA                    ,FI,+60:37:44,+023:55:26, 148
 7108,NOKIA TOTTIJARVI                        ,FI,+61:23:47,+023:20:23,  99
 7109,TAMPERE KOIVISTONKYLA                   ,FI,+61:28:00,+023:48:00, 100
 7110,PIRKKALA TAMPERE-PIRKKALAN LENTOASEMA   ,FI,+61:25:14,+023:37:24, 119
 7114,JOKIOINEN JOKIOISTEN OBSERVATORIO AWS   ,FI,+60:48:50,+023:30:03, 104
 7115,TAMPERE HATANPAA                        ,FI,+61:29:12,+023:46:25,  83
 7116,TAMPERE HARMALA                         ,FI,+61:27:56,+023:45:00,  85
 7117,SOMERO SALKOLA                          ,FI,+60:38:47,+023:48:33, 143
 7118,HAMEENLINNA KAURIALA                    ,FI,+61:00:00,+024:27:00,  92
 7119,HYVINKAA HYVINKAANKYLA                  ,FI,+60:35:45,+024:48:23,  86
 7120,HATTULA LETEENSUO                       ,FI,+61:04:00,+024:14:00,  88
  709,HATTULA LEPAA-1                         ,FI,+61:07:38,+024:20:10,  87
 7123,VIHTI HIISKULA                          ,FI,+60:31:29,+024:31:08, 100
 7124,NURMIJARVI RAJAMAKI                     ,FI,+60:32:00,+024:45:00,  90
