EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  217,100829,ARAD                                    ,RO,+46:08:00,+021:21:00, 117, RR4,18800101,20200930,   28,Marius-Victor Birsan                              
  217,915200,ARAD                                    ,RO,+46:08:00,+021:21:00, 117, RR8,19820102,20200229,     ,                    
  267,100899,BUCURESTI FILARET                       ,RO,+44:25:00,+026:06:00,  82, RR4,18950101,20001231,   28,Marius-Victor Birsan                              
  267,108889,BUCURESTI-BANEASA                       ,RO,+44:31:00,+026:05:00,  90, RR4,19610101,20200930,   28,Marius-Victor Birsan                              
  267,915420,BUCURESTI BANEASA                       ,RO,+44:30:00,+026:08:00,  91, RR8,19820101,20200229,     ,                    
  267,915422,BUCARESTI FILARET                       ,RO,+44:25:00,+026:06:00,  83, RR8,20141010,20200229,     ,                    
  220,100900,BUZAU                                   ,RO,+45:08:00,+026:51:00,  97, RR4,19450101,20200930,   28,Marius-Victor Birsan                              
  220,915350,BUZAU                                   ,RO,+45:07:00,+026:51:00,  98, RR8,19820102,20200229,     ,                    
  221,100901,CALARASI                                ,RO,+44:12:00,+027:20:00,  19, RR4,19380101,20200930,   28,Marius-Victor Birsan                              
  221,915460,CALARASI                                ,RO,+44:12:00,+027:20:00,  20, RR8,19820102,20200229,     ,                    
  222,100902,CLUJ NAPOCA                             ,RO,+46:47:00,+023:34:00, 410, RR4,19230101,20200930,   28,Marius-Victor Birsan                              
  222,915120,CLUJ-NAPOCA                             ,RO,+46:46:00,+023:34:00, 411, RR8,19820101,20200229,     ,                    
  223,100903,DROBETA TURNU SEVERIN                   ,RO,+44:38:00,+022:38:00,  77, RR4,19250101,20200930,   28,Marius-Victor Birsan                              
