EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
 3947,MADRID/CUATROVIENTOS                    ,ES,+40:22:40,-003:47:21, 687
 3948,MADRID/GETAFE                           ,ES,+40:18:00,-003:43:21, 617
 3839,MADRID/TORREJON                         ,ES,+40:29:00,-003:27:01, 611
 1389,MELILLA                                 ,ES,+35:16:40,-002:57:19,  47
  421,MURCIA                                  ,ES,+38:00:10,-001:10:10,  61
 3949,MURCIA/ALCANTARILLA                     ,ES,+37:57:28,-001:13:47,  85
 1404,MURCIA/SAN JAVIER                       ,ES,+37:47:20,-000:48:12,   4
 3950,PAMPLONA (OBSERVATORIO)                 ,ES,+42:49:03,-001:38:11, 442
  422,PAMPLONA                                ,ES,+42:46:37,-001:39:00, 459
 3951,OURENSE                                 ,ES,+42:19:40,-007:51:37, 143
 3952,OURENSE (INSTITUTO)                     ,ES,+42:20:00,-007:51:47, 148
 1395,VIGO PEINADOR                           ,ES,+42:14:22,-008:37:26, 261
 3956,SALAMANCA OBS.                          ,ES,+40:57:23,-005:39:41, 775
 3957,HIERRO/AEROPUERTO                       ,ES,+27:49:08,-017:53:20,  32
 3958,LA PALMA/AEROPUERTO                     ,ES,+28:37:59,-017:45:18,  33
 3959,STA. CRUZ DE TENERIFE                   ,ES,+28:27:47,-016:15:19,  35
  455,TENERIFE/LOS RODEOS                     ,ES,+28:28:39,-016:19:46, 632
 3961,SEGOVIA                                 ,ES,+40:56:52,-004:07:38,1005
 3962,SEGOVIA (MARIANO QUINTANILLA)           ,ES,+40:56:52,-004:06:55, 990
 3963,MORON DE LA FRONTERA                    ,ES,+37:09:30,-005:36:57,  87
  423,SEVILLA/SAN PABLO                       ,ES,+37:25:00,-005:52:45,  34
  424,SORIA                                   ,ES,+41:46:30,-002:28:59,1082
 1401,REUS/AEROPUERTO                         ,ES,+41:08:59,+001:10:44,  71
 3969,VALENCIA/AEROPUERTO                     ,ES,+39:29:12,-000:28:24,  69
  425,VALLADOLID                              ,ES,+41:39:00,-004:46:00, 735
 3970,VALLADOLID (VILLANUBLA)                 ,ES,+41:42:00,-004:51:00, 846
 1393,BILBAO AEROPUERTO                       ,ES,+43:17:53,-002:54:21,  42
 1399,ZAMORA                                  ,ES,+41:31:00,-005:44:01, 656
 3971,DAROCA                                  ,ES,+41:06:53,-001:24:39, 779
11012,ANGLES                                  ,ES,+41:57:39,+002:37:52, 150
11034,EL PRAT DE LLOBREGAT                    ,ES,+41:20:25,+002:04:49,   8
11040,GIRONA                                  ,ES,+41:58:56,+002:48:25,  72
