EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  229,100709,BADAJOZ/TALAVERA LA REAL                ,ES,+38:53:00,-006:49:45, 185, RR3,19550101,20211031,   31,Roser Botey Fullat                                
  230,100710,MADRID - RETIRO                         ,ES,+40:24:43,-003:40:41, 667, RR3,19200101,20211031,   31,Roser Botey Fullat                                
  231,100713,MALAGA AEROPUERTO                       ,ES,+36:40:00,-004:29:17,   7, RR3,19420501,20211031,   31,Roser Botey Fullat                                
  232,100716,NAVACERRADA                             ,ES,+40:46:50,-004:00:37,1894, RR3,19460101,20211031,   31,Roser Botey Fullat                                
  233,100719,SALAMANCA AEROPUERTO                    ,ES,+40:57:34,-005:29:54, 790, RR3,19450101,20211031,   31,Roser Botey Fullat                                
  234,100722,SAN SEBASTIAN - IGUELDO                 ,ES,+43:18:27,-002:02:22, 251, RR3,19280101,20211031,   31,Roser Botey Fullat                                
  236,100729,TORTOSA - OBSERVATORIO DEL EBRO         ,ES,+40:49:14,+000:29:29,  44, RR3,19200101,20211031,   31,Roser Botey Fullat                                
  236,155245,TORTOSA - OBSERVATORIO DEL EBRO         ,ES,+40:49:14,+000:29:29,  44, RR3,19050101,20131231,   63,Marc Prohom                                       
  237,100732,VALENCIA                                ,ES,+39:28:50,-000:21:59,  11, RR3,19371101,20211031,   31,Roser Botey Fullat                                
  237,908285,VALENCIA                                ,ES,+39:29:00,-000:23:00,  11, RR8,19820808,20120228,     ,                    
  238,100735,ZARAGOZA AEROPUERTO                     ,ES,+41:39:43,-001:00:29, 247, RR3,19410101,20211031,   31,Roser Botey Fullat                                
  309,101035,ALICANTE EL ALTET                       ,ES,+38:16:58,-000:34:15,  43, RR3,19670301,20211031,   31,Roser Botey Fullat                                
  309,908360,ALICANTE/EL ALTET                       ,ES,+38:17:00,-000:33:00,  31, RR8,19820101,20200229,     ,                    
  412,101043,ALICANTE                                ,ES,+38:22:21,-000:29:39,  81, RR3,19380901,20211031,   31,Roser Botey Fullat                                
  337,101190,CORDOBA AEROPUERTO                      ,ES,+37:50:39,-004:50:46,  90, RR1,19551201,20110123,   47,GSN network                                       
  337,120053,CORDOBA AEROPUERTO                      ,ES,+37:50:39,-004:50:46,  90, RR3,19590401,20211031,   31,Roser Botey Fullat                                
  337,908410,CORDOBA/AEROPUERTO                      ,ES,+37:51:00,-004:51:00,  92, RR8,19820102,20200229,     ,                    
 1388,112517,IZANA                                   ,ES,+28:18:32,-016:29:58,2371, RR1,19190306,20020630,   47,GSN network                                       
 1388,120440,IZANA                                   ,ES,+28:18:32,-016:29:58,2371, RR3,19200101,20211031,   31,Roser Botey Fullat                                
 3838,119221,ROTA                                    ,ES,+36:38:20,-006:19:54,  21, RR1,19581001,20021130,   50,GHCND                                             
 3838,119954,ROTA                                    ,ES,+36:38:20,-006:19:54,  21, RR3,19881001,20211031,   31,Roser Botey Fullat                                
  420,119711,A CORUNA                                ,ES,+43:22:02,-008:25:10,  58, RR3,19301001,20211031,   31,Roser Botey Fullat                                
 3903,119720,A CORUNA/ALVEDRO                        ,ES,+43:18:25,-008:22:20,  98, RR3,19711201,20211031,   31,Roser Botey Fullat                                
 3903,908002,LA CORUNA/ALVEDRO                       ,ES,+43:18:00,-008:23:00, 103, RR8,20160927,20200229,     ,                    
 1394,119729,SANTIAGO DE COMPOSTELA/LABACOLLA        ,ES,+42:53:16,-008:24:39, 370, RR3,19431101,20211031,   31,Roser Botey Fullat                                
 3904,119738,VITORIA AERODROMO                       ,ES,+42:51:03,-002:39:17, 521, RR3,19430326,19800226,   31,Roser Botey Fullat                                
 3904,119747,VITORIA/FORONDA                         ,ES,+42:52:19,-002:44:00, 513, RR3,19770701,20211031,   31,Roser Botey Fullat                                
 3905,119738,VITORIA AERODROMO                       ,ES,+42:51:03,-002:39:17, 521, RR3,19430326,19800226,   31,Roser Botey Fullat                                
 3905,119747,VITORIA/FORONDA                         ,ES,+42:52:19,-002:44:00, 513, RR3,19770701,20211031,   31,Roser Botey Fullat                                
  336,101185,ALBACETE LOS LLANOS                     ,ES,+38:57:08,-001:51:47, 704, RR1,19510101,20110111,   47,GSN network                                       
  336,119765,ALBACETE LOS LLANOS                     ,ES,+38:57:08,-001:51:47, 704, RR3,19391201,20211031,   31,Roser Botey Fullat                                
  336,908280,ALBACETE/LOS LLANOS                     ,ES,+38:57:00,-001:51:00, 704, RR8,19820101,20200229,     ,                    
 3907,119774,ALMERIA                                 ,ES,+36:50:00,-002:27:17,   7, RR3,19340101,19810409,   31,Roser Botey Fullat                                
 3907,119783,ALMERIA/AEROPUERTO                      ,ES,+36:50:47,-002:21:25,  21, RR3,19680201,20211031,   31,Roser Botey Fullat                                
 3908,119774,ALMERIA                                 ,ES,+36:50:00,-002:27:17,   7, RR3,19340101,19810409,   31,Roser Botey Fullat                                
 3908,119783,ALMERIA/AEROPUERTO                      ,ES,+36:50:47,-002:21:25,  21, RR3,19680201,20211031,   31,Roser Botey Fullat                                
 3909,119792,ASTURIAS/AVILES                         ,ES,+43:34:01,-006:02:39, 127, RR3,19680801,20211031,   31,Roser Botey Fullat                                
 3909,908011,ASTURIAS/AVILES                         ,ES,+43:34:00,-006:02:00, 130, RR8,19820305,20200229,     ,                    
 3910,119801,GIJON                                   ,ES,+43:32:18,-005:38:31,   3, RR3,19760601,20010304,   31,Roser Botey Fullat                                
 3910,119810,GIJON LA MERCED                         ,ES,+43:32:18,-005:38:31,  22, RR3,19381001,19760509,   31,Roser Botey Fullat                                
 3910,119819,GIJON MUSEL                             ,ES,+43:33:39,-005:41:55,   5, RR3,20010306,20211031,   31,Roser Botey Fullat                                
 3911,119801,GIJON                                   ,ES,+43:32:18,-005:38:31,   3, RR3,19760601,20010304,   31,Roser Botey Fullat                                
 3911,119810,GIJON LA MERCED                         ,ES,+43:32:18,-005:38:31,  22, RR3,19381001,19760509,   31,Roser Botey Fullat                                
 3911,119819,GIJON MUSEL                             ,ES,+43:33:39,-005:41:55,   5, RR3,20010306,20211031,   31,Roser Botey Fullat                                
 3912,119801,GIJON                                   ,ES,+43:32:18,-005:38:31,   3, RR3,19760601,20010304,   31,Roser Botey Fullat                                
 3912,119810,GIJON LA MERCED                         ,ES,+43:32:18,-005:38:31,  22, RR3,19381001,19760509,   31,Roser Botey Fullat                                
 3912,119819,GIJON MUSEL                             ,ES,+43:33:39,-005:41:55,   5, RR3,20010306,20211031,   31,Roser Botey Fullat                                
 3913,119828,OVIEDO                                  ,ES,+43:21:16,-005:52:22, 336, RR3,19721201,20211031,   31,Roser Botey Fullat                                
 3914,119837,AVILA                                   ,ES,+40:39:33,-004:40:48,1130, RR3,19830101,20211031,   31,Roser Botey Fullat                                
 3914,119846,AVILA-AYUNTAMIENTO                      ,ES,+40:39:20,-004:41:58,1143, RR3,19530123,19830129,   31,Roser Botey Fullat                                
 3915,119837,AVILA                                   ,ES,+40:39:33,-004:40:48,1130, RR3,19830101,20211031,   31,Roser Botey Fullat                                
