EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  144,100496,WEST TERSCHELLING                       ,NL,+53:22:00,+005:13:00,   7, RR2,18751231,20211009,   19,Philippe Steeghs                                  
  144,109082,FORMERUM                                ,NL,+53:24:00,+005:18:00,   0, RR2,19860101,20211009,   19,Philippe Steeghs                                  
  144,152486,HOORN TERSCHELLING                      ,NL,+53:23:28,+005:20:45,   1, RR7,19940601,20211030,   19,Philippe Steeghs                                  
  145,100497,DE KOOY-1                               ,NL,+52:55:00,+004:47:00,   0, RR2,19580403,20211009,   19,Philippe Steeghs                                  
  145,100498,DEN HELDER-1                            ,NL,+52:56:00,+004:45:00,   0, RR2,18501231,19720731,   19,Philippe Steeghs                                  
  145,152468,DE KOOY                                 ,NL,+52:55:37,+004:46:52,   1, RR7,19570101,20211031,   19,Philippe Steeghs                                  
  147,100499,GRONINGEN-1                             ,NL,+53:11:00,+006:36:00,   1, RR2,18461231,20211009,   19,Philippe Steeghs                                  
  147,109240,ONNEN                                   ,NL,+53:09:00,+006:40:00,   0, RR2,19501231,20211009,   19,Philippe Steeghs                                  
  147,152470,EELDE                                   ,NL,+53:07:25,+006:35:05,   5, RR7,19570101,20211031,   19,Philippe Steeghs                                  
  148,100500,TER APEL                                ,NL,+52:53:00,+007:04:00,  12, RR2,18910831,20211009,   19,Philippe Steeghs                                  
  148,187729,HAREN-RUETENBROCK                       ,DE,+52:51:39,+007:06:09,   1, RR3,19510101,20211031,   11,National Climate Data Center (DWD)                
  149,100501,HOORN                                   ,NL,+52:39:00,+005:04:00,  -1, RR2,18830430,20211009,   19,Philippe Steeghs                                  
  149,152478,BERKHOUT                                ,NL,+52:38:34,+004:58:44,  -2, RR7,19990323,20211031,   19,Philippe Steeghs                                  
  149,209280,BOVENKARSPEL                            ,NL,+52:41:17,+005:13:51,  -2, RR2,18761130,18920129,   19,Philippe Steeghs                                  
  150,100502,HEERDE                                  ,NL,+52:24:00,+006:03:00,   6, RR2,18920831,20211009,   19,Philippe Steeghs                                  
  150,209296,DELLE                                   ,NL,+52:24:06,+005:58:31,  25, RR2,18660831,18780121,   19,Philippe Steeghs                                  
  150,209309,EPE (WELNA)                             ,NL,+52:21:26,+005:54:21,  27, RR2,18660831,18770529,   19,Philippe Steeghs                                  
