EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 01-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  169,100550,BOLOGNA                                 ,IT,+44:30:00,+011:20:46,  53, RR1,18130101,20071231,   20,Maurizio Maugeri                                  
  169,194587,CANOCCHIA_BOTTE_MONTE                   ,IT,+44:32:03,+011:16:49,  36, RR7,20141224,20190428,   54,Valentina Pavan                                   
  169,194651,CASALECCHIO_CANALE                      ,IT,+44:28:32,+011:16:51,  63, RR7,20051231,20211030,   54,Valentina Pavan                                   
  169,195203,DOZZA                                   ,IT,+44:32:02,+011:22:05,  42, RR7,20051231,20190428,   54,Valentina Pavan                                   
  169,197915,CASALECCHIO_CANONICA                    ,IT,+44:29:16,+011:17:17,  54, RR7,20051231,20190426,   54,Valentina Pavan                                   
  169,916140,BOLOGNA/BORGO PANIGALE                  ,IT,+44:32:00,+011:18:00,  37, RR8,19820102,20200229,     ,                    
  170,100551,FERRARA                                 ,IT,+44:49:57,+011:37:16,  15, RR1,18790101,20071231,   20,Maurizio Maugeri                                  
  170,195267,FERRARA                                 ,IT,+44:49:57,+011:37:16,  15, RR7,20051231,20190427,   54,Valentina Pavan                                   
  170,195795,MALBORGHETTO                            ,IT,+44:51:28,+011:39:40,   4, RR7,20061003,20211030,   54,Valentina Pavan                                   
  170,196259,NICOLINO                                ,IT,+44:53:06,+011:35:59,   5, RR7,20051231,20190429,   54,Valentina Pavan                                   
  170,196643,PONTELAGOSCURO                          ,IT,+44:53:17,+011:36:29,   8, RR7,20051231,20211030,   54,Valentina Pavan                                   
