EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT

  338,KVIKKJOKK-ARRENJARKA                    ,SE,+66:53:15,+018:01:04, 314
 2603,DREVSJO                                 ,NO,+61:53:14,+012:02:53, 672
 5022,VALDALEN                                ,NO,+62:04:33,+012:10:20, 794
 5288,TOMTABACKEN_A                           ,SE,+57:30:00,+014:28:12, 356
 5291,SPINKABO                                ,SE,+57:34:12,+014:28:12, 350
 6086,MALMBACK                                ,SE,+57:36:00,+014:31:12, 350
 5309,PRASTKULLA                              ,SE,+57:43:12,+014:59:24, 290
 5324,MULLSJO                                 ,SE,+57:55:12,+013:52:48, 270
 6128,SANDHEM                                 ,SE,+57:58:12,+013:46:48, 270
 6135,HOGEMALEN                               ,SE,+58:03:36,+014:36:00, 285
 6137,UPPGRANNA                               ,SE,+58:04:12,+014:31:48, 285
 5514,KLOTEN                                  ,SE,+59:52:12,+015:15:00, 285
 5515,KLOTEN_A                                ,SE,+59:52:12,+015:15:36, 289
 5528,FREDRIKSBERG                            ,SE,+60:08:24,+014:24:00, 305
 6413,SAGEN                                   ,SE,+60:16:12,+014:08:24, 265
 5547,STORA_SPANSBERGET_A                     ,SE,+60:22:48,+015:08:24, 492
 6426,SPANSBERGET                             ,SE,+60:22:48,+015:08:24, 495
 6452,KINDSJON_D                              ,SE,+60:39:36,+012:42:36, 425
  341,MALUNG                                  ,SE,+60:40:53,+013:41:59, 308
 5564,MALUNG_A                                ,SE,+60:40:48,+013:42:36, 306
 6463,LETAFORS                                ,SE,+60:44:24,+012:42:00, 335
 6465,TASAN                                   ,SE,+60:46:12,+012:51:00, 255
 6484,LOTEN_D                                 ,SE,+61:01:48,+012:50:24, 425
 6485,FINNBACKA_D                             ,SE,+61:03:36,+015:34:48, 431
 6490,MANGSBODARNA                            ,SE,+61:04:48,+013:37:12, 424
 5587,ALVDALEN_A                              ,SE,+61:15:00,+014:02:24, 252
 5588,ALVDALEN_11                             ,SE,+61:15:36,+014:02:24, 250
 6507,HORRMUND                                ,SE,+61:18:36,+013:09:36, 440
 6509,LOVNAS                                  ,SE,+61:20:24,+013:21:36, 445
 6511,TRANGSLET                               ,SE,+61:22:48,+013:43:48, 425
 6513,STORBRON                                ,SE,+61:23:24,+012:51:36, 540
 6517,NORNAS_D                                ,SE,+61:25:48,+013:13:48, 460
 6528,LILLHAMRA                               ,SE,+61:38:24,+014:48:00, 424
 5601,HAMRA                                   ,SE,+61:39:36,+014:59:24, 454
 5602,HAMRA_A                                 ,SE,+61:39:36,+014:59:24, 454
 5603,SARNA                                   ,SE,+61:42:36,+013:07:48, 425
 6532,LOS_D                                   ,SE,+61:45:00,+015:10:12, 397
 6533,FAGELSJO_D                              ,SE,+61:48:00,+014:38:24, 410
 5613,FLOTNINGEN                              ,SE,+61:51:00,+012:16:12, 670
 6536,IDRE_D                                  ,SE,+61:51:36,+012:43:12, 455
 3525,SVEG                                    ,SE,+62:01:09,+014:11:25, 432
 6551,YTTERBERG_D                             ,SE,+62:04:12,+014:29:24, 470
 5620,GROVELSJON                              ,SE,+62:06:00,+012:19:12, 815
 6556,LANGSTROMMEN                            ,SE,+62:07:12,+015:00:00, 280
 5623,YTTERHOGDAL                             ,SE,+62:10:48,+014:57:00, 260
 6565,ULVSJON                                 ,SE,+62:16:12,+016:25:48, 375
 6568,MYSKELASEN_D                            ,SE,+62:19:48,+012:39:00, 770
 6571,KOLSILLRE_D                             ,SE,+62:24:00,+015:12:36, 255
 5629,HEDE                                    ,SE,+62:25:12,+013:31:12, 430
 5630,HEDEVIKEN                               ,SE,+62:24:36,+013:40:12, 410
 5633,KLOVSJOHOJDEN_A                         ,SE,+62:30:00,+014:09:36, 802
 5637,KLOVSJO                                 ,SE,+62:31:48,+014:12:00, 802
 5638,LJUSNEDAL                               ,SE,+62:33:00,+012:36:00, 585
 5639,FJALLNAS                                ,SE,+62:34:48,+012:13:12, 780
 6588,MALMAGEN                                ,SE,+62:36:36,+012:09:36, 785
 6597,ORAATJARNARNA_D                         ,SE,+62:43:12,+016:10:48, 345
 5644,HUNGE                                   ,SE,+62:45:00,+015:06:00, 342
 5645,HUNGE_A                                 ,SE,+62:45:00,+015:05:24, 343
 6601,DODRE                                   ,SE,+62:47:24,+014:41:24, 350
 6602,GALTJARN                                ,SE,+62:48:00,+017:33:00, 260
 6618,RISSNA_D                                ,SE,+63:03:36,+015:20:24, 300
 5659,HOGLEKARDALEN                           ,SE,+63:04:48,+013:45:00, 592
 6621,MARBY_D                                 ,SE,+63:07:48,+014:16:48, 325
 5663,NORDERON                                ,SE,+63:09:00,+014:22:12, 320
 6625,VALLBO                                  ,SE,+63:09:36,+013:04:12, 575
 6627,HALLEN                                  ,SE,+63:10:48,+014:05:24, 330
 5671,STORLIEN-STORVALLEN                     ,SE,+63:16:48,+012:07:12, 583
 6635,LITSNASET                               ,SE,+63:18:36,+014:42:00, 275
 6638,LIT                                     ,SE,+63:18:36,+014:51:00, 270
 5674,MORSIL                                  ,SE,+63:19:12,+013:39:00, 400
 6645,HISSMOFORS                              ,SE,+63:19:48,+014:28:12, 285
 6650,JARPSTROMMEN                            ,SE,+63:23:24,+013:23:24, 380
 6655,BORGVATTNET                             ,SE,+63:25:12,+015:49:48, 380
 6660,KAXAS-AFLO_D                            ,SE,+63:29:24,+013:55:12, 345
 6665,LUNDSJON                                ,SE,+63:31:12,+014:31:48, 410
 6670,HAMMERDAL                               ,SE,+63:34:48,+015:22:12, 330
 6676,BRANNA                                  ,SE,+63:40:12,+013:33:00, 400
 6678,BOTTNEN                                 ,SE,+63:40:48,+013:22:12, 400
 5694,HALLVIKEN                               ,SE,+63:43:48,+015:30:00, 375
 6685,SODERSEL_D                              ,SE,+63:45:00,+018:10:12, 385
 5696,HALLHAXASEN_A                           ,SE,+63:46:12,+015:19:48, 375
 6708,LOVBERGA_D                              ,SE,+63:58:12,+015:51:00, 267
 5708,ALMDALEN                                ,SE,+64:00:00,+014:40:12, 615
 6716,VALSJON                                 ,SE,+64:03:36,+014:07:48, 340
 5710,FREDRIKA_A                              ,SE,+64:04:48,+018:22:12, 327
 5711,FREDRIKA                                ,SE,+64:04:48,+018:25:12, 327
 5715,ASELE                                   ,SE,+64:09:36,+017:22:12, 310
 5716,ASELE_A                                 ,SE,+64:10:12,+017:19:12, 307
 6722,KYRKTASJO_D                             ,SE,+64:15:00,+015:51:00, 260
 5730,HOGLAND                                 ,SE,+64:34:12,+015:55:12, 330
 5731,PETISTRASK_A                            ,SE,+64:34:12,+019:42:00, 258
 6748,ASTRASK                                 ,SE,+64:36:36,+019:58:48, 265
