EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  338,101878,KVIKKJOKK-ARRENJARKA                    ,SE,+66:53:15,+018:01:04, 314, RR1,19610101,20041231,    1,Markku Rummukainen                                
  338,116046,KVIKKJOKK-ARRENJARKA                    ,SE,+66:53:15,+018:01:04, 314, RR9,19610101,20081231,   56,Marcus Flarup                                     
  338,140800,KVIKKJOKK-ARRENJARKA A                  ,SE,+66:53:24,+018:01:12, 320, RR9,20081101,20211031,   56,Marcus Flarup                                     
 2603,109966,DREVSJO                                 ,NO,+61:53:14,+012:02:53, 672, RR2,19561231,20211030,   22,Hans Olav Hygen                                   
 2603,139690,FLOTNINGEN                              ,SE,+61:51:00,+012:16:12, 670, RR9,19450101,20080731,   56,Marcus Flarup                                     
 2603,201236,GLOETVOLA                               ,NO,+61:50:39,+011:51:01, 696, RR2,18991231,19980930,   22,Hans Olav Hygen                                   
 2603,202398,GLOETVOLA - TROEAN                      ,NO,+61:50:36,+011:50:27, 690, RR2,19970906,20180628,   22,Hans Olav Hygen                                   
 5022,133362,VALDALEN                                ,NO,+62:04:33,+012:10:20, 794, RR2,19680629,20211030,   22,Hans Olav Hygen                                   
 5022,139746,GROVELSJON                              ,SE,+62:06:00,+012:19:12, 815, RR9,19450101,20100930,   56,Marcus Flarup                                     
 5288,138122,TOMTABACKEN_A                           ,SE,+57:30:00,+014:28:12, 356, RR9,19951101,20211031,   56,Marcus Flarup                                     
 5288,138144,SPINKABO                                ,SE,+57:34:12,+014:28:12, 350, RR9,19591001,19951231,   56,Marcus Flarup                                     
 5288,138146,GODEBERG                                ,SE,+57:34:12,+014:37:48, 350, RR9,19450102,19771031,   56,Marcus Flarup                                     
 5288,138154,MALMBACK                                ,SE,+57:36:00,+014:31:12, 350, RR9,19960101,20211031,   56,Marcus Flarup                                     
 5291,138122,TOMTABACKEN_A                           ,SE,+57:30:00,+014:28:12, 356, RR9,19951101,20211031,   56,Marcus Flarup                                     
 5291,138144,SPINKABO                                ,SE,+57:34:12,+014:28:12, 350, RR9,19591001,19951231,   56,Marcus Flarup                                     
 5291,138146,GODEBERG                                ,SE,+57:34:12,+014:37:48, 350, RR9,19450102,19771031,   56,Marcus Flarup                                     
 5291,138154,MALMBACK                                ,SE,+57:36:00,+014:31:12, 350, RR9,19960101,20211031,   56,Marcus Flarup                                     
 6086,138122,TOMTABACKEN_A                           ,SE,+57:30:00,+014:28:12, 356, RR9,19951101,20211031,   56,Marcus Flarup                                     
 6086,138144,SPINKABO                                ,SE,+57:34:12,+014:28:12, 350, RR9,19591001,19951231,   56,Marcus Flarup                                     
 6086,138146,GODEBERG                                ,SE,+57:34:12,+014:37:48, 350, RR9,19450102,19771031,   56,Marcus Flarup                                     
 6086,138154,MALMBACK                                ,SE,+57:36:00,+014:31:12, 350, RR9,19960101,20211031,   56,Marcus Flarup                                     
 5309,138216,PRASTKULLA                              ,SE,+57:43:12,+014:59:24, 290, RR9,19450101,20211031,   56,Marcus Flarup                                     
 5324,138300,MULLSJO                                 ,SE,+57:55:12,+013:52:48, 270, RR9,19610101,20200430,   56,Marcus Flarup                                     
 5324,138314,SANDHEM                                 ,SE,+57:58:12,+013:46:48, 270, RR9,19951001,20210930,   56,Marcus Flarup                                     
 6128,138300,MULLSJO                                 ,SE,+57:55:12,+013:52:48, 270, RR9,19610101,20200430,   56,Marcus Flarup                                     
 6128,138314,SANDHEM                                 ,SE,+57:58:12,+013:46:48, 270, RR9,19951001,20210930,   56,Marcus Flarup                                     
 6135,138348,HOGEMALEN                               ,SE,+58:03:36,+014:36:00, 285, RR9,19450101,20211030,   56,Marcus Flarup                                     
 6135,138354,UPPGRANNA                               ,SE,+58:04:12,+014:31:48, 285, RR9,19950703,19971130,   56,Marcus Flarup                                     
 6137,138348,HOGEMALEN                               ,SE,+58:03:36,+014:36:00, 285, RR9,19450101,20211030,   56,Marcus Flarup                                     
 6137,138354,UPPGRANNA                               ,SE,+58:04:12,+014:31:48, 285, RR9,19950703,19971130,   56,Marcus Flarup                                     
 5514,139158,KLOTEN                                  ,SE,+59:52:12,+015:15:00, 285, RR9,19780701,20180731,   56,Marcus Flarup                                     
 5514,139160,KLOTEN_A                                ,SE,+59:52:12,+015:15:36, 289, RR9,20090801,20211031,   56,Marcus Flarup                                     
 5515,139158,KLOTEN                                  ,SE,+59:52:12,+015:15:00, 285, RR9,19780701,20180731,   56,Marcus Flarup                                     
 5515,139160,KLOTEN_A                                ,SE,+59:52:12,+015:15:36, 289, RR9,20090801,20211031,   56,Marcus Flarup                                     
 5528,139268,FREDRIKSBERG                            ,SE,+60:08:24,+014:24:00, 305, RR9,19760701,20211031,   56,Marcus Flarup                                     
 6413,139304,SAGEN                                   ,SE,+60:16:12,+014:08:24, 265, RR9,19771201,20211014,   56,Marcus Flarup                                     
 5547,139348,STORA_SPANSBERGET_A                     ,SE,+60:22:48,+015:08:24, 492, RR9,19640601,20211031,   56,Marcus Flarup                                     
 5547,139350,SPANSBERGET                             ,SE,+60:22:48,+015:08:24, 495, RR9,19640601,19860627,   56,Marcus Flarup                                     
 6426,139348,STORA_SPANSBERGET_A                     ,SE,+60:22:48,+015:08:24, 492, RR9,19640601,20211031,   56,Marcus Flarup                                     
 6426,139350,SPANSBERGET                             ,SE,+60:22:48,+015:08:24, 495, RR9,19640601,19860627,   56,Marcus Flarup                                     
 6452,139432,KINDSJON_D                              ,SE,+60:39:36,+012:42:36, 425, RR9,19600101,20211031,   56,Marcus Flarup                                     
