EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 08-12-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT

  144,WEST TERSCHELLING                       ,NL,+53:22:00,+005:13:00,   7
  145,DE KOOY-1                               ,NL,+52:55:00,+004:47:00,   0
  147,GRONINGEN-1                             ,NL,+53:11:00,+006:36:00,   1
  148,TER APEL                                ,NL,+52:53:00,+007:04:00,  12
  149,HOORN                                   ,NL,+52:39:00,+005:04:00,  -1
  150,HEERDE                                  ,NL,+52:24:00,+006:03:00,   6
  151,HOOFDDORP                               ,NL,+52:19:00,+004:42:00,  -3
  152,DE BILT-1                               ,NL,+52:06:00,+005:11:00,   2
  153,WINTERSWIJK                             ,NL,+51:59:00,+006:42:00,  34
  154,KERKWERVE                               ,NL,+51:41:00,+003:52:00,   7
  155,WESTDORPE-1                             ,NL,+51:13:00,+003:52:00,   2
  156,AXEL                                    ,NL,+51:17:00,+003:55:00,   2
  157,OUDENBOSCH                              ,NL,+51:34:00,+004:32:00,   1
  158,ROERMOND                                ,NL,+51:11:00,+005:58:00,  20
  501,PETTEN                                  ,NL,+52:46:00,+004:39:00,   1
  502,DE COCKSDORPS                           ,NL,+53:10:00,+004:52:00,   1
  503,DE KOOG                                 ,NL,+53:06:00,+004:46:00,   0
  504,MAKKUM                                  ,NL,+53:04:00,+005:25:00,   0
  505,ST. ANNA PAROCHIE                       ,NL,+53:17:00,+005:40:00,   1
  506,APPELSCHA                               ,NL,+52:58:00,+006:21:00,   9
  507,NIJBEETS                                ,NL,+53:04:00,+006:00:00,  -2
  508,BERGUMERDAM                             ,NL,+53:11:00,+005:59:00,   2
  509,TERNAARD                                ,NL,+53:23:00,+005:59:00,   1
  511,DELFZIJL                                ,NL,+53:19:00,+006:56:00,   2
  512,WARFFUM                                 ,NL,+53:24:00,+006:34:00,   1
  513,ZOUTKAMP                                ,NL,+53:20:00,+006:18:00,   1
  514,EEXT                                    ,NL,+53:00:00,+006:44:00,  16
  515,VLAGTWEDDE                              ,NL,+53:02:00,+007:07:00,   3
  516,RODEN                                   ,NL,+53:09:00,+006:26:00,   3
  517,ZEERIJP                                 ,NL,+53:21:00,+006:45:00,   1
  518,BEVERWIJK                               ,NL,+52:29:00,+004:40:00,   0
